"category","sum"
"Music",125296396
"Entertainment",73566498
"People & Blogs",24778032
"Howto & Style",23149550
"Comedy",22545582
"Film & Animation",17887060
"Gaming",14740713
"Science & Technology",11989926
"Sports",11192155
"News & Politics",6039433
"Education",5442242
"Nonprofits & Activism",4808797
"Pets & Animals",2660705
"Travel & Events",911511
"Autos & Vehicles",784447
"Shows",95117
